name,n_sanka,n_atari,rate
優,1216.0,78.0,0.06414473684210527
TAKAMAT,1220.0,77.0,0.06311475409836066
ゆいぼん,1148.0,76.0,0.06620209059233449
なっぺ,1133.0,76.0,0.06707855251544571
おばきい,1170.0,74.0,0.06324786324786325
あきふゆ,1031.0,73.0,0.07080504364694472
しゅう,1052.0,69.0,0.0655893536121673
すうせい,1087.0,65.0,0.05979760809567617
SunField,703.0,65.0,0.09246088193456614
uesyuu,795.0,60.0,0.07547169811320754
あかね,961.0,59.0,0.061394380853277836
はまゆう,531.0,51.0,0.096045197740113
pirameki,530.0,48.0,0.09056603773584905
なべころ,460.0,44.0,0.09565217391304348
まこと,402.0,41.0,0.10199004975124377
shige,626.0,39.0,0.06230031948881789
ALDTE,555.0,38.0,0.06846846846846846
ni,438.0,35.0,0.07990867579908675
Casuga,753.0,35.0,0.04648074369189907
棟梁,366.0,35.0,0.09562841530054644
star,441.0,33.0,0.07482993197278912
エスハ,444.0,31.0,0.06981981981981981
ジョン,582.0,30.0,0.05154639175257732
taiyaki,433.0,30.0,0.06928406466512702
sakurapapa,427.0,29.0,0.06791569086651054
かなひー,647.0,29.0,0.04482225656877898
orange,469.0,28.0,0.05970149253731343
kaddey∞,491.0,27.0,0.054989816700611
ヤッシー,407.0,25.0,0.06142506142506143
craccho,231.0,25.0,0.10822510822510822
鱸,498.0,24.0,0.04819277108433735
ふわ,355.0,23.0,0.0647887323943662
Yuuki,235.0,22.0,0.09361702127659574
こう,412.0,22.0,0.05339805825242718
nattsun,253.0,21.0,0.08300395256916997
Yumu,517.0,21.0,0.04061895551257253
ファンネル,522.0,21.0,0.040229885057471264
Takey,442.0,21.0,0.04751131221719457
Gunji,364.0,20.0,0.054945054945054944
wariza,319.0,19.0,0.05956112852664577
きさ,168.0,19.0,0.1130952380952381
gilt,317.0,19.0,0.05993690851735016
さるじお,278.0,19.0,0.0683453237410072
ゆう,340.0,19.0,0.05588235294117647
sunfs,213.0,18.0,0.08450704225352113
serisuza,186.0,18.0,0.0967741935483871
wanntakun,309.0,18.0,0.05825242718446602
まえぽん,294.0,18.0,0.061224489795918366
セリ,284.0,18.0,0.06338028169014084
mats,284.0,17.0,0.05985915492957746
Fukka,199.0,17.0,0.08542713567839195
Kuma,176.0,17.0,0.09659090909090909
とら,234.0,17.0,0.07264957264957266
tyAta,264.0,16.0,0.06060606060606061
HATAMURA,233.0,16.0,0.06866952789699571
fuumy,319.0,16.0,0.050156739811912224
たかふー,319.0,16.0,0.050156739811912224
omaT,336.0,16.0,0.047619047619047616
りーち,178.0,16.0,0.0898876404494382
masakoba,191.0,15.0,0.07853403141361257
ろーだい,299.0,15.0,0.05016722408026756
ひーくん,276.0,14.0,0.050724637681159424
日暮,206.0,14.0,0.06796116504854369
にこる,210.0,14.0,0.06666666666666667
コウタ,355.0,14.0,0.03943661971830986
けい,336.0,13.0,0.03869047619047619
しおん,150.0,13.0,0.08666666666666667
いーいー,160.0,13.0,0.08125
E,153.0,12.0,0.0784313725490196
kyoheyi,314.0,12.0,0.03821656050955414
sawa,269.0,12.0,0.04460966542750929
arjgk,241.0,12.0,0.04979253112033195
Suraimu,132.0,12.0,0.09090909090909091
sakura,191.0,12.0,0.06282722513089005
Sunfield,286.0,11.0,0.038461538461538464
totoro,242.0,11.0,0.045454545454545456
comamy,384.0,11.0,0.028645833333333332
梅,324.0,11.0,0.033950617283950615
あかそい,219.0,11.0,0.0502283105022831
kane,135.0,10.0,0.07407407407407407
Naoky,122.0,10.0,0.08196721311475409
ろいと,251.0,10.0,0.0398406374501992
ぶし,115.0,10.0,0.08695652173913043
えすぷれ,145.0,10.0,0.06896551724137931
MC_such,154.0,10.0,0.06493506493506493
takku,143.0,10.0,0.06993006993006994
Shusei,185.0,9.0,0.04864864864864865
ヨガファイア犬,112.0,9.0,0.08035714285714286
夏みかん,317.0,9.0,0.028391167192429023
itnaket,199.0,9.0,0.04522613065326633
ヒイロ,168.0,9.0,0.05357142857142857
cozy,105.0,9.0,0.08571428571428572
orugu,244.0,9.0,0.036885245901639344
kazz,210.0,9.0,0.04285714285714286
おっとっと,110.0,9.0,0.08181818181818182
かっぱ,136.0,9.0,0.0661764705882353
enots,129.0,9.0,0.06976744186046512
まっしゅ,91.0,8.0,0.08791208791208792
Y.Y,149.0,8.0,0.053691275167785234
shun,205.0,8.0,0.03902439024390244
白,1212.0,8.0,0.006600660066006601
ツボツボ,106.0,8.0,0.07547169811320754
E1ina,82.0,7.0,0.08536585365853659
Morooka,103.0,7.0,0.06796116504854369
くりちょ,100.0,7.0,0.07
NOMU3,92.0,7.0,0.07608695652173914
かっとむ,100.0,7.0,0.07
sakku,159.0,7.0,0.0440251572327044
てつ,189.0,7.0,0.037037037037037035
ttm,84.0,7.0,0.08333333333333333
